id,key,value,type
6164082,cfcc,A41,tiger
6164082,county,"Larimer, CO",tiger
6164082,reviewed,no,tiger
6164454,name,Estate Drive,regular
6164454,highway,residential,regular
6164454,cfcc,A41,tiger
6164454,tlid,188588288:188588289:188588290,tiger
6164454,county,"Larimer, CO",tiger
6164454,source,tiger_import_dch_v0.6_20070809,tiger
6164454,reviewed,no,tiger
6164454,zip_left,80513,tiger
6164454,name_base,Estate,tiger
6164454,name_type,Dr,tiger
6164454,separated,no,tiger
6164454,zip_right,80513,tiger
6164842,name,Arapahoe Avenue,regular
6164842,highway,residential,regular
6164842,cfcc,A41,tiger
6164842,county,"Larimer, CO",tiger
6164842,reviewed,no,tiger
6164842,zip_left,80513,tiger
6164842,name_base,Arapahoe,tiger
6164842,name_type,Ave,tiger
6164842,zip_right,80513,tiger
6165292,name,Northview Road,regular
6165292,highway,residential,regular
6165292,cfcc,A41,tiger
6165292,tlid,188621141,tiger
6165292,county,"Larimer, CO",tiger
6165292,source,tiger_import_dch_v0.6_20070809,tiger
6165292,reviewed,no,tiger
6165292,zip_left,80513,tiger
6165292,name_base,Northview,tiger
6165292,name_type,Rd,tiger
6165292,separated,no,tiger
6165292,zip_right,80513,tiger
6165509,name,Lake Hollow Road,regular
6165509,highway,residential,regular
6165509,cfcc,A41,tiger
6165509,tlid,188531755:188531756:188574105:188574106,tiger
6165509,county,"Larimer, CO",tiger
6165509,source,tiger_import_dch_v0.6_20070809,tiger
6165509,reviewed,no,tiger
6165509,zip_left,80513,tiger
6165509,name_base,Lake Hollow,tiger
6165509,name_type,Rd,tiger
6165509,separated,no,tiger
6165509,zip_right,80513,tiger
6165702,name,Bunyan Avenue,regular
6165702,name_1,West County Road 8E,regular
6165702,highway,residential,regular
6166294,name,Capitol Avenue,regular
6166294,highway,residential,regular
6166294,cfcc,A41,tiger
6166294,county,"Larimer, CO",tiger
6166294,reviewed,no,tiger
6166294,zip_left,80513,tiger
6166294,name_base,Capitol,tiger
6166294,name_type,Ave,tiger
6166294,zip_right,80513,tiger
6166552,name,Lela Court,regular
6166552,highway,residential,regular
6166552,cfcc,A41,tiger
6166552,tlid,188501462,tiger
6166552,county,"Larimer, CO",tiger
6166552,source,tiger_import_dch_v0.6_20070809,tiger
6166552,reviewed,no,tiger
